Pais,Dorsal,Nombre,Edad,Altura_m,Posicion
Argentina,23,Emiliano Martinez,31,1.95,Soy portero y defiendo el arco.
Argentina,26,Nahuel Molina,26,1.75,Soy defensa 
Argentina,13,Cristian Romero,25,1.85,Soy defensa 
Argentina,19,Nicolas Otamendi,36,1.83,Soy defensa 
Argentina,3,Nicolas Tagliafico,31,1.72,Soy defensa 
Argentina,7,Rodrigo De Paul,29,1.8,Soy mediocampista.
Argentina,8,Enzo Fernandez,23,1.78,Soy mediocampista.
Argentina,20,Alexis Mac Allister,25,1.74,Soy mediocampista.
Argentina,11,Angel Di Maria,36,1.8,Soy mediocampista.
Argentina,10,Lionel Messi,36,1.7,Soy delantero.
Argentina,9,Julian Alvarez,24,1.7,Soy delantero.
